"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2023";32;112;9,7
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2018";40;133;11,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2019";39;136;11,7
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2020";26;83;7,2
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2021";26;83;8
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2022";33;118;10,2
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2023";34;122;10
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2018";42;172;12,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2019";35;137;10,3
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2018";42;146;12
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2019";38;141;11,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2020";28;90;7,6
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2021";25;86;7,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2022";33;126;10,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2023";34;131;10,7
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2018";32;136;10,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2019";32;118;10,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2020";16;57;4,7
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2021";22;75;6
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2022";22;78;6,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2023";22;84;6,4
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";11;14;1,6
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";11;14;1,5
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";7;7;1,2
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";8;9;1,3
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2022";10;13;1,7
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2023";10;13;1,8
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2018";9;12;1,2
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2018";9;11;1,4
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2019";9;10;1,1
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2021";6;8;0,8
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2022";7;9;1
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2023";9;11;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2018";10;12;1,3
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2019";9;11;1,1
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2020";8;7;1
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2021";7;10;1
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2022";10;14;1,8
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2023";10;12;1,4
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2018";11;16;1,7
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2019";12;16;2
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2020";7;9;1,4
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2021";8;9;1,3
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2022";11;16;3
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2023";10;13;1,8
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2018";14;18;2,4
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2019";15;18;2,3
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2020";10;11;1,7
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2021";11;13;2
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2022";11;15;1,8
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2023";14;19;2,8
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2018";11;12;1,4
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2019";10;14;1,4
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2020";8;6;1
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2021";9;7;1,1
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2022";10;11;1,6
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2023";10;10;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2018";12;16;1,6
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"The Netherlands";"2018";2;29;1
"Attending education/courses";"Population 6 years or older";"Other";"Value";"The Netherlands";"2019";2;31;1,1
"Attending education/courses";"Population 6 years or older";"Other";"Value";"The Netherlands";"2020";2;18;0,7
"Attending education/courses";"Population 6 years or older";"Other";"Value";"The Netherlands";"2021";2;25;0,9
"Attending education/courses";"Population 6 years or older";"Other";"Value";"The Netherlands";"2022";2;31;1,1
"Attending education/courses";"Population 6 years or older";"Other";"Value";"The Netherlands";"2023";2;31;1,2
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2019";;;
