"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2023";96;1889;49,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2018";106;2116;52
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2019";109;2196;54,9
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2020";81;1504;40,7
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2021";88;1784;46,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2022";91;1741;45,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2023";99;1976;51,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2018";123;2088;48,7
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2019";128;3059;66,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2020";82;1969;40,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2021";101;1878;44
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2022";99;1835;48,4
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2023";107;2165;48,8
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2018";127;2356;55,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2019";120;2298;53,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2020";100;1562;40
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2021";98;1590;43
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2022";112;1927;49,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2023";121;2377;56,9
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2018";141;2457;58,9
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2019";137;2397;55,5
