Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2022,91.0,1741.0,45.3
Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2023,99.0,1976.0,51.2
Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2018,123.0,2088.0,48.7
Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2019,128.0,3059.0,66.1
Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2020,82.0,1969.0,40.3
Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2021,101.0,1878.0,44.0
Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2022,99.0,1835.0,48.4
Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2023,107.0,2165.0,48.8
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2018,127.0,2356.0,55.5
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2019,120.0,2298.0,53.2
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2020,100.0,1562.0,40.0
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2021,98.0,1590.0,43.0
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2022,112.0,1927.0,49.3
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2023,121.0,2377.0,56.9
Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2018,141.0,2457.0,58.9
Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2019,137.0,2397.0,55.5
Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2020,96.0,1509.0,40.0
Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2021,107.0,1557.0,41.7
Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2022,122.0,1887.0,47.8
Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2023,133.0,1863.0,49.6
Total,Population 6 years or older,Train,Value,The Netherlands,2018,29.0,1417.0,37.1
Total,Population 6 years or older,Train,Value,The Netherlands,2019,30.0,1488.0,38.9
Total,Population 6 years or older,Train,Value,The Netherlands,2020,12.0,586.0,15.4
Total,Population 6 years or older,Train,Value,The Netherlands,2021,13.0,610.0,16.9
Total,Population 6 years or older,Train,Value,The Netherlands,2022,19.0,955.0,25.8
Total,Population 6 years or older,Train,Value,The Netherlands,2023,24.0,1190.0,32.2
Total,Population 6 years or older,Train,Value,Groningen (PV),2018,25.0,1702.0,40.9
Total,Population 6 years or older,Train,Value,Groningen (PV),2019,25.0,2038.0,41.1
Total,Population 6 years or older,Train,Value,Groningen (PV),2020,,,
Total,Population 6 years or older,Train,Value,Groningen (PV),2021,14.0,1145.0,24.0
Total,Population 6 years or older,Train,Value,Groningen (PV),2022,,,
Total,Population 6 years or older,Train,Value,Groningen (PV),2023,20.0,1636.0,30.0
Total,Population 6 years or older,Train,Value,Fryslân (PV),2018,17.0,1037.0,23.8
Total,Population 6 years or older,Train,Value,Fryslân (PV),2019,,,
Total,Population 6 years or older,Train,Value,Fryslân (PV),2020,,,
Total,Population 6 years or older,Train,Value,Fryslân (PV),2021,,,
Total,Population 6 years or older,Train,Value,Fryslân (PV),2022,,,
Total,Population 6 years or older,Train,Value,Fryslân (PV),2023,,,
Total,Population 6 years or older,Train,Value,Drenthe (PV),2018,,,
Total,Population 6 years or older,Train,Value,Drenthe (PV),2019,,,
Total,Population 6 years or older,Train,Value,Drenthe (PV),2020,,,
Total,Population 6 years or older,Train,Value,Drenthe (PV),2021,,,
Total,Population 6 years or older,Train,Value,Drenthe (PV),2022,,,
Total,Population 6 years or older,Train,Value,Drenthe (PV),2023,,,
Total,Population 6 years or older,Train,Value,Overijssel (PV),2018,21.0,1215.0,28.7
Total,Population 6 years or older,Train,Value,Overijssel (PV),2019,25.0,1843.0,38.7
Total,Population 6 years or older,Train,Value,Overijssel (PV),2020,9.0,644.0,14.5
Total,Population 6 years or older,Train,Value,Overijssel (PV),2021,8.0,352.0,9.1
Total,Population 6 years or older,Train,Value,Overijssel (PV),2022,17.0,1114.0,24.1
Total,Population 6 years or older,Train,Value,Overijssel (PV),2023,17.0,1155.0,25.5
Total,Population 6 years or older,Train,Value,Flevoland (PV),2018,44.0,1943.0,51.6
Total,Population 6 years or older,Train,Value,Flevoland (PV),2019,45.0,2177.0,58.5
Total,Population 6 years or older,Train,Value,Flevoland (PV),2020,,,
Total,Population 6 years or older,Train,Value,Flevoland (PV),2021,,,
Total,Population 6 years or older,Train,Value,Flevoland (PV),2022,23.0,944.0,29.8
Total,Population 6 years or older,Train,Value,Flevoland (PV),2023,27.0,1051.0,36.2
Total,Population 6 years or older,Train,Value,Gelderland (PV),2018,25.0,1398.0,34.8
Total,Population 6 years or older,Train,Value,Gelderland (PV),2019,28.0,1313.0,35.7
Total,Population 6 years or older,Train,Value,Gelderland (PV),2020,13.0,662.0,16.7
Total,Population 6 years or older,Train,Value,Gelderland (PV),2021,13.0,640.0,16.5
Total,Population 6 years or older,Train,Value,Gelderland (PV),2022,21.0,1168.0,30.5
Total,Population 6 years or older,Train,Value,Gelderland (PV),2023,25.0,1290.0,34.2
Total,Population 6 years or older,Train,Value,Utrecht (PV),2018,42.0,1756.0,50.6
Total,Population 6 years or older,Train,Value,Utrecht (PV),2019,47.0,2112.0,56.8
Total,Population 6 years or older,Train,Value,Utrecht (PV),2020,19.0,845.0,24.3
Total,Population 6 years or older,Train,Value,Utrecht (PV),2021,19.0,830.0,23.6
Total,Population 6 years or older,Train,Value,Utrecht (PV),2022,28.0,1229.0,35.6
Total,Population 6 years or older,Train,Value,Utrecht (PV),2023,40.0,1744.0,48.3
Total,Population 6 years or older,Train,Value,Noord-Holland (PV),2018,42.0,1810.0,52.2
Total,Population 6 years or older,Train,Value,Noord-Holland (PV),2019,41.0,1774.0,52.5
Total,Population 6 years or older,Train,Value,Noord-Holland (PV),2020,18.0,719.0,21.0
Total,Population 6 years or older,Train,Value,Noord-Holland (PV),2021,18.0,754.0,24.3
Total,Population 6 years or older,Train,Value,Noord-Holland (PV),2022,23.0,967.0,29.5
Total,Population 6 years or older,Train,Value,Noord-Holland (PV),2023,31.0,1194.0,38.2
Total,Population 6 years or older,Train,Value,Zuid-Holland (PV),2018,31.0,1344.0,37.8
Total,Population 6 years or older,Train,Value,Zuid-Holland (PV),2019,32.0,1416.0,39.3
Total,Population 6 years or older,Train,Value,Zuid-Holland (PV),2020,12.0,477.0,14.1
Total,Population 6 years or older,Train,Value,Zuid-Holland (PV),2021,14.0,611.0,18.6
Total,Population 6 years or older,Train,Value,Zuid-Holland (PV),2022,20.0,856.0,25.4
Total,Population 6 years or older,Train,Value,Zuid-Holland (PV),2023,25.0,1178.0,33.7
Total,Population 6 years or older,Train,Value,Zeeland (PV),2018,,,
